2026-01-20 17:31:53,202 | INFO | Starting app...
2026-01-20 17:31:53,202 | INFO | Loading ontology...
2026-01-20 17:31:53,212 | INFO | Loading model from HF...
2026-01-20 17:31:55,274 | INFO | Model ready
2026-01-20 17:32:41,197 | INFO | Starting app...
2026-01-20 17:32:41,197 | INFO | Loading ontology...
2026-01-20 17:32:41,207 | INFO | Loading model from HF...
2026-01-20 17:32:43,073 | INFO | Model ready
2026-01-20 17:35:35,401 | INFO | Starting app...
2026-01-20 17:35:35,401 | INFO | Loading ontology...
2026-01-20 17:35:35,413 | INFO | Loading model from HF...
2026-01-20 17:35:37,519 | INFO | Model ready
2026-01-20 17:36:30,223 | INFO | Starting app...
2026-01-20 17:36:30,223 | INFO | Loading ontology...
2026-01-20 17:36:30,232 | INFO | Loading model from HF...
2026-01-20 17:36:32,035 | INFO | Model ready
2026-01-20 17:58:07,882 | INFO | FastAPI app starting...
2026-01-20 18:28:15,132 | INFO | FastAPI app starting...
2026-01-20 18:29:36,321 | INFO | FastAPI app starting...
2026-01-20 18:49:53,693 | INFO | FastAPI app starting...
2026-01-20 18:50:51,210 | INFO | FastAPI app starting...
2026-01-20 18:51:17,940 | INFO | FastAPI app starting...
2026-01-20 18:57:24,549 | INFO | FastAPI app starting...
2026-01-20 18:58:44,014 | INFO | FastAPI app starting...
2026-01-20 18:59:00,054 | INFO | FastAPI app starting...
2026-01-20 19:00:17,765 | INFO | FastAPI app starting...
2026-01-20 19:00:34,762 | INFO | FastAPI app starting...
2026-01-20 19:00:46,572 | INFO | FastAPI app starting...
2026-01-20 19:58:44,085 | INFO | FastAPI app starting...
2026-01-20 19:59:25,032 | INFO | FastAPI app starting...
2026-01-20 19:59:39,811 | INFO | FastAPI app starting...
